place_name,region,menu_name,menu_price,address,url,allergy
우물커피앤바,효창동,세븐레이크 아메리카노,5000,서울 용산구 효창동 3-57,https://pcmap.place.naver.com/place/1524880604,없음
우물커피앤바,효창동,세븐레이크 카페라떼,6000,서울 용산구 효창동 3-57,https://pcmap.place.naver.com/place/1524880604,우유
우물커피앤바,효창동,디카페인아메리카노,5000,서울 용산구 효창동 3-57,https://pcmap.place.naver.com/place/1524880604,없음
우물커피앤바,효창동,랑케블랙 아메리카노,5000,서울 용산구 효창동 3-57,https://pcmap.place.naver.com/place/1524880604,없음
우물커피앤바,효창동,랑케블랙 카페라떼,6000,서울 용산구 효창동 3-57,https://pcmap.place.naver.com/place/1524880604,우유
우물커피앤바,효창동,햄루꼴라샌드위치,8000,서울 용산구 효창동 3-57,https://pcmap.place.naver.com/place/1524880604,"밀, 고기"
우물커피앤바,효창동,카프레제샌드위치,8000,서울 용산구 효창동 3-57,https://pcmap.place.naver.com/place/1524880604,밀
피자먹다 효창공원역점,효창동,[8가지맛] 플래터(Platter) 피자,12000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,밀
피자먹다 효창공원역점,효창동,플래터(Platter) 피자,12000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,밀
피자먹다 효창공원역점,효창동,콤비네이션 피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,밀
피자먹다 효창공원역점,효창동,화이트쉬림프포테이토피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,"갑각류, 밀"
피자먹다 효창공원역점,효창동,바질쉬림프베이컨피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,"갑각류, 밀, 고기"
피자먹다 효창공원역점,효창동,바질토마토피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,밀
피자먹다 효창공원역점,효창동,케이준치킨피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,"밀, 고기"
피자먹다 효창공원역점,효창동,맥앤치즈 피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,"밀, 우유"
피자먹다 효창공원역점,효창동,25cm 마르게리따 피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,"갑각류, 밀"
피자먹다 효창공원역점,효창동,달콤연유피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,"밀, 우유"
피자먹다 효창공원역점,효창동,톡톡옥수수 피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,밀
피자먹다 효창공원역점,효창동,스위트고구마 피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,밀
피자먹다 효창공원역점,효창동,페페로니 피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,밀
피자먹다 효창공원역점,효창동,스위트불고기 피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,"밀, 고기"
피자먹다 효창공원역점,효창동,하와이언 피자,10000,서울 용산구 효창동 81-1,https://pcmap.place.naver.com/place/1949383276,밀
다과상사,효창동,바닐라빈라떼 R,8000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
다과상사,효창동,솔티카라멜라떼,8000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
다과상사,효창동,카페라떼 R,8000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
다과상사,효창동,아메리카노 R,8000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,없음
다과상사,효창동,카페모카 R,8000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
다과상사,효창동,아인슈페너,8000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
다과상사,효창동,바닐라빈라떼 300ml (병),6000,서울 용산구 효창동 74,https://pcmap.place.naver.com/place/37182939,우유
